feature,importance
distance_to_werner,0.23196126694631836
distance_to_fault_intersections_score,0.12410624392097244
distance_to_fault_intersections,0.10376643679941178
distance_to_magnetic_lineaments,0.0987082320915773
distance_to_faults_score,0.06915732121002478
distance_to_faults,0.057685481212369355
fault_density,0.0483147044412121
fault_length_density,0.04003457854341293
fault_orientation_complexity,0.026063303457392373
distance_to_drainage_proxy,0.024199458595131302
magnetic_base_aligned,0.024106008525266138
DEM_aligned,0.019680361652796817
magnet_aligned,0.01903614120340339
elevation,0.01848605861204911
magnetic_analytic_signal,0.01749289257658255
slope,0.016908398385665473
dem_aligned,0.01501085065025475
tpi,0.01358782894662386
magnetic_lineament_density,0.012599239262839122
magnetic_gradient,0.0072281736926989556
roughness,0.005956144241308625
curvature,0.0030144572424259716
magnetic_tilt,0.0028813938804212644
werner_density,1.5023909841419497e-05
werner_depth,1.0376728828598164e-19
magnetic_edge_mask,0.0
